Время,Название,Сумма,Кластер
Март-декабрь ,Программа развития студии огненного шоу «IGNIS MIPT» (Игнис) ,47000.0,Огонь
Март-декабрь ,Вечера настольных игр (клуб «Настольный Физтех») ,51000.0,Другое
Март-Ноябрь ,Адаптационный видео-курс и цикл лекций на английском языке для иностранных студентов (международный департамент) ,130000.0,Межкультурное
Март-Декабрь ,Академическая музыка на Физтехе ,92500.0,Музыка
Март-Декабрь ,Турниры по дебатам + программа развития Клуба дебатов МФТИ (КД МФТИ) ,25500.0,Дебаты
Март-Декабрь ,«Автобусные экскурсии для студентов МФТИ» ,200000.0,Экскурс
Март-Декабрь ,Медиа продвижение мероприятий бренда МФТИ ,700000.0,Бренд
Март-Декабрь ,MIPT Chess ,60000.0,Спорт
Март-апрель ,Весенний бал МФТИ (Клуб исторического моделирования) ,20000.0,Танцы
Март ,"СТ Точка Спектакль ""Номер 13"" ",103500.0,Театр
Март-Май ,Школа вожатых (вожатский отряд «Фотон») ,39000.0,Вожатые
Март-Декабрь ,Велопрокат на Физтехе ,355000.0,Спорт
Март-апрель ,СТЭМ ФОПФ «Молчи скрывайся и таи» ,42000.0,Театр
Март-апрель ,Физтех.Радио «Кинофестиваль Fizteh Movie Awards» ,147000.0,Культура
Март-май ,Молодежный фестиваль «ДНИ ФИЗИКА»  (ОКДФ) ,388500.0,ДФ
Апрель-Май ,СТ «Точка» «Ромео и Джульетта» ,65000.0,Театр
Апрель ,"""Неделя космонавтики"" ",162000.0,Праздник
Май ,Объединение студенческих театров «Ама в стране яблок» ,54500.0,Театр
Май ,Туристический слет “Мне не все равно” ,43000.0,Псих
Май-август ,"Парусный клуб ""Физтех"" ",50000.0,Спорт
Май-август ,"Международные молодёжные волонтёрские стройотряды ""Жар-Птица"" ",200000.0,Строй
Сентябрь-Ноябрь ,СТ «Мимо» Пластический спектакль по произведениям Н.В. Гоголя «Вий» и «Вечера на хуторе близь Диканьки» ,128000.0,Театр
Июнь ,«День защиты детей» (вожатский отряд «Фотон») ,100000.0,Праздник
Август-ноябрь ,Развитие студенческого интернет-медиа «Поток» ,50000.0,Другое
Сентябрь ,СТ «Точка» «Разбитые каменные сердца черного города» ,50000.0,Театр
Октябрь-Ноябрь ,Осенний бал МФТИ (Клуб исторического моделирования) ,20000.0,Танцы
Декабрь ,СТ «Точка» «Белый шум Арктики» ,29500.0,Театр
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
